Keyword,Volume,Topic,Pillar,Page,Page role,Page intent,Keyword intent,Intent source
red teaming as a service,40,Threat Management,Red Teaming Concepts,Red Team Testing Services Overview,Supporting,Mixed,Commercial,text
cyber risk reduction,40,Risk Management,Cybersecurity Risk Management,Effective Cyber Risk Reduction Techniques,Supporting,Mixed,Informational,text
managed soar,40,Cybersecurity Services,SOAR in Cybersecurity,Top SOAR Solutions and Services,Supporting,Commercial,Commercial,text
managed extended detection response,40,Cybersecurity Services,Managed Detection and Response,Overview of Extended Detection Solutions,Supporting,Commercial,Commercial,text
managed detection and response mdr solutions,40,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Commercial,text
vulnerability remediation prioritization,40,Threat Management,Vulnerability Management,Vulnerability Prioritization Techniques,Supporting,Mixed,Transactional,text
managed detection & response service,40,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Commercial,text
vulnerability management solutions companies,40,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Commercial,text
managed detection & response guide,40,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Informational,text
dlp data loss prevention solutions,40,Cybersecurity Practices,Data Loss Prevention,Top DLP Security Solutions,Supporting,Commercial,Commercial,text
identity threat detection and response tools,40,Threat Management,Threat Detection Solutions,Identity Threat Detection Solutions,Supporting,Commercial,Commercial,text
enterprise mdr,40,Cybersecurity Services,MDR Cybersecurity Solutions,MDR in Cybersecurity Explained,Supporting,Commercial,Commercial,text
identity threat detection and remediation,40,Threat Management,Threat Detection Solutions,Identity Threat Detection Solutions,Supporting,Commercial,Commercial,text
top vulnerability management solutions,40,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Informational,text
how does managed detection and response work,40,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Informational,text
threat exposure management platform,40,Risk Management,Threat Exposure Management,Exploring Threat Exposure Management Platforms,Supporting,Mixed,Commercial,text
managed threat detection response,40,Cybersecurity Services,Managed Detection and Response,Managed Threat Detection Services Guide,Supporting,Commercial,Commercial,text
casm security,40,Cybersecurity Practices,CaaS Security Insights,CAASM Security Insights,Supporting,Mixed,Commercial,text
cloud and regulatory compliance,40,Cybersecurity Practices,Cloud Security Solutions,Cloud Security and Compliance Overview,Supporting,Informational,Informational,text
cloud misconfiguration breaches,40,Cybersecurity Practices,Cloud Misconfiguration Risks,Understanding Cloud Misconfigurations,Pillar page,Informational,Informational,text
mdr protection,40,Cybersecurity Services,MDR Cybersecurity Solutions,Benefits of MDR Solutions,Supporting,Mixed,Transactional,text
continuous threat exposure management vendors,40,Risk Management,Threat Exposure Management,Understanding Continuous Threat Exposure Management,Supporting,Informational,Commercial,text
mdr comparison,40,Cybersecurity Services,MDR Cybersecurity Solutions,Top MDR Service Providers,Supporting,Commercial,Informational,text
what is mdr cyber security,40,Cybersecurity Services,MDR Cybersecurity Solutions,MDR in Cybersecurity Explained,Supporting,Commercial,Informational,text
exposure management tools,30,Risk Management,Threat Exposure Management,Top Exposure Management Solutions,Pillar page,Commercial,Commercial,text
attack surface security,30,Security Management,Attack Surface Management,Comprehensive Attack Surface Analysis,Supporting,Mixed,Commercial,text
vulnerability assessments tools,30,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Commercial,text
ai for vulnerability management,30,Threat Management,Vulnerability Management,AI in Vulnerability Management,Supporting,Commercial,Commercial,text
ctem continuous threat exposure management,30,Risk Management,Threat Exposure Management,Understanding Continuous Threat Exposure Management,Supporting,Informational,Informational,text
manage cyber attack surface,30,Security Management,Attack Surface Management,What Is an Attack Surface?,Supporting,Informational,Transactional,text
cloud misconfiguration examples,30,Cybersecurity Practices,Cloud Misconfiguration Risks,Understanding Cloud Misconfigurations,Pillar page,Informational,Informational,text
threat intelligence feed providers,30,Threat Management,Threat Intelligence Solutions,Threat Intelligence Feed Providers,Supporting,Commercial,Commercial,text
continuous threat and exposure management,30,Risk Management,Threat Exposure Management,Understanding Continuous Threat Exposure Management,Supporting,Informational,Informational,text
ci/cd,14800,Cybersecurity Practices,CI/CD Fundamentals,What Is CI/CD Explained,Pillar page,Informational,Informational,text
cmmc compliance software,320,Compliance and Governance,CMMC Compliance Solutions,CMMC Compliance Software Overview,Pillar page,Mixed,Commercial,text
drp solutions,320,Risk Management,DRP Overview,Exploring DRP Solutions Options,Supporting,Mixed,Commercial,text
mvm management,140,Threat Management,MVM Solutions,MVM Management and Security Insights,Pillar page,Commercial,Commercial,text
soar services,140,Cybersecurity Services,SOAR in Cybersecurity,Top SOAR Solutions and Services,Supporting,Commercial,Commercial,text
idps,5400,Cybersecurity Services,IDPS Overview,Understanding IDPS Systems,Pillar page,Mixed,Commercial,text
wormgpt,3600,Cybersecurity Practices,WormGPT Overview,What Is WormGPT?,Pillar page,Informational,Informational,text
network scanner,2900,Cybersecurity Services,Network Scanning Solutions,Top Network Scanning Tools,Pillar page,Commercial,Commercial,text
network access control,2900,Security Management,Network Access Control,Understanding Network Access Control Solutions,Pillar page,Commercial,Commercial,text
data masking,2400,Cybersecurity Practices,Data Masking Overview,Benefits and Examples of Data Masking,Pillar page,Informational,Commercial,text
it risk management,2400,Risk Management,Cybersecurity Risk Management,IT Risk Management Best Practices,Supporting,Informational,Informational,text
patch management software,1900,Threat Management,Patch Management Strategies,Comprehensive Patch Management Solutions,Pillar page,Commercial,Commercial,text
worm gpt,1600,Cybersecurity Practices,WormGPT Overview,What Is WormGPT?,Pillar page,Informational,Informational,text
nac network,1300,Security Management,NAC Solutions,NAC Network Access Solutions,Pillar page,Commercial,Commercial,text
dos attacks,1300,Threat Management,Denial of Service Attacks,Overview of DoS Attacks,Supporting,Informational,Informational,text
what is infrastructure as code,1000,Cybersecurity Practices,Infrastructure as Code,Understanding Infrastructure As Code,Pillar page,Informational,Informational,text
network traffic analysis,1000,Threat Management,Network Traffic Analysis,Essential Network Traffic Analysis Tools,Supporting,Commercial,Commercial,text
what is drp,1000,Risk Management,DRP Overview,What is DRP? A Comprehensive Guide,Pillar page,Informational,Informational,text
network access control solutions,1000,Security Management,Network Access Control,Understanding Network Access Control Solutions,Pillar page,Commercial,Commercial,text
managed xdr,880,Cybersecurity Services,XDR Cybersecurity Solutions,Managed XDR Services Guide,Supporting,Commercial,Commercial,text
aws security services,880,Cybersecurity Practices,Cloud Security Strategies,Top AWS Security Services,Supporting,Commercial,Commercial,text
network traffic,720,Threat Management,Network Traffic Analysis,Understanding Network Traffic Basics,Supporting,Informational,Informational,text
mdr providers,720,Cybersecurity Services,MDR Cybersecurity Solutions,Top MDR Service Providers,Supporting,Commercial,Commercial,text
what is it asset management,720,Risk Management,IT Asset Management,Introduction to IT Asset Management,Supporting,Mixed,Informational,text
pentesting tools,720,Threat Management,Penetration Testing Overview,Top Penetration Testing Tools,Supporting,Mixed,Commercial,text
what is rasp,720,Cybersecurity Practices,RASP Overview,Understanding RASP Technology,Supporting,Informational,Informational,text
lotl,590,Threat Management,LOTL Insights,What Does LOTL Mean?,Pillar page,Informational,Informational,text
information security risk management,590,Risk Management,Cybersecurity Risk Management,Comprehensive Security Risk Management,Supporting,Informational,Informational,text
attack surface reduction,590,Security Management,Attack Surface Management,Strategies for Attack Surface Reduction,Supporting,Informational,Informational,text
arbitrary code,590,Threat Management,Remote Code Execution,Arbitrary Code Execution Explained,Supporting,Informational,Informational,text
what is sandboxing,590,Cybersecurity Practices,Sandboxing in Cybersecurity,Understanding Sandboxing in Cybersecurity,Pillar page,Informational,Informational,text
3rd party risk management,590,Risk Management,Third Party Risk Management,Understanding Third Party Risk Management,Pillar page,Informational,Informational,text
backdoor access,590,Threat Management,Backdoor Cybersecurity,Exploring Backdoor Access,Pillar page,Informational,Informational,text
application programming interface security,480,Cybersecurity Practices,API Security Solutions,Overview of API Security,Supporting,Informational,Informational,text
patch management tools,480,Threat Management,Patch Management Strategies,Comprehensive Patch Management Solutions,Pillar page,Commercial,Commercial,text
nerc cip compliance,480,Compliance and Governance,Cybersecurity Compliance Solutions,Guide to NERC CIP Compliance,Supporting,Informational,Informational,text
what is patching,480,Threat Management,Patch Management Strategies,Introduction to Network Patching,Supporting,Informational,Informational,text
hitl meaning,480,Cybersecurity Practices,HITL Overview,Understanding HITL Meaning,Pillar page,Informational,Informational,text
deception technology,480,Threat Management,Deception Technology Insights,Understanding Deception Technology,Pillar page,Informational,Informational,text
what is a sandbox in cybersecurity,480,Cybersecurity Practices,Sandboxing in Cybersecurity,Understanding Sandboxing in Cybersecurity,Pillar page,Informational,Informational,text
devsecops as a service,480,Cybersecurity Practices,DevSecOps Overview,Defining DevSecOps Services,Pillar page,Informational,Commercial,text
intrusion detection system intrusion prevention system,480,Cybersecurity Services,Intrusion Detection Systems,Intrusion Detection And Prevention Overview,Pillar page,Mixed,Informational,text
whaling cyber security,480,Threat Management,Whaling Cybersecurity,Whaling in Cyber Security,Supporting,Informational,Informational,text
vulnerability management policy,480,Threat Management,Vulnerability Management,Vulnerability Management Best Practices,Supporting,Informational,Informational,text
it asset,480,Risk Management,IT Asset Management,Overview of IT Asset Inventory,Supporting,Informational,Informational,text
cyber threat intelligence feeds,390,Threat Management,Threat Intelligence Solutions,Understanding Cyber Threat Intelligence,Supporting,Mixed,Commercial,text
what does mdr mean,390,Cybersecurity Services,MDR Cybersecurity Solutions,Understanding MDR Concepts,Supporting,Informational,Informational,text
patch management solutions,390,Threat Management,Patch Management Strategies,Comprehensive Patch Management Solutions,Pillar page,Commercial,Commercial,text
what is idps,390,Cybersecurity Services,IDPS Overview,What Is IDPS?,Supporting,Informational,Informational,text
pentest as a service,390,Threat Management,Penetration Testing Overview,Penetration Testing as a Service,Supporting,Transactional,Commercial,text
threat modeling frameworks,320,Threat Management,Threat Modeling Concepts,Threat Modeling Frameworks and Process,Supporting,Informational,Informational,text
security and risk management,320,Risk Management,Cybersecurity Risk Management,Comprehensive Security Risk Management,Supporting,Informational,Informational,text
patch management best practices,320,Threat Management,Patch Management Strategies,Comprehensive Patch Management Solutions,Pillar page,Commercial,Informational,text
network vulnerabilities,320,Threat Management,Vulnerability Management,Security Vulnerabilities Overview,Supporting,Informational,Informational,text
information security and risk management,320,Risk Management,Cybersecurity Risk Management,Comprehensive Security Risk Management,Supporting,Informational,Informational,text
living off the land attack,320,Threat Management,Living Off the Land Attacks,Understanding Living Off The Land Attacks,Pillar page,Informational,Informational,text
intrusion detection prevention,320,Cybersecurity Services,Intrusion Detection Systems,Intrusion Detection And Prevention Overview,Pillar page,Mixed,Informational,text
what is fedramp compliance,320,Compliance and Governance,FedRAMP Overview,Understanding FedRAMP Compliance,Pillar page,Informational,Informational,text
soc reporting meaning,320,Security Management,SOC Reporting Insights,Comprehensive Guide to SOC Reports,Pillar page,Informational,Informational,text
soc as a service providers,260,Cybersecurity Services,SOC as a Service,Understanding SOC as a Service,Supporting,Commercial,Commercial,text
web security vulnerabilities,260,Cybersecurity Practices,Application Security Solutions,Common Web Application Vulnerabilities,Supporting,Informational,Informational,text
what is a malware attack,260,Threat Management,Malware Attacks Overview,Defining Malware Attacks,Pillar page,Informational,Informational,text
atp cyber security,260,Threat Management,ATP Cyber Security,ATP Cyber Security Solutions Overview,Pillar page,Commercial,Commercial,text
botnet examples,260,Threat Management,Botnet Overview,Real-World Botnet Examples,Supporting,Informational,Informational,text
malicious ads meaning,210,Threat Management,Malvertising Explained,Defining Malicious Ads Meaning,Supporting,Informational,Informational,text
what is network detection and response,210,Cybersecurity Services,Managed Detection and Response,Network Detection and Response Explained,Supporting,Commercial,Informational,text
network security controls,210,Compliance and Governance,Critical Security Controls,Essential Network Security Controls,Supporting,Informational,Informational,text
risk and security management,210,Risk Management,Cybersecurity Risk Management,Comprehensive Security Risk Management,Supporting,Informational,Informational,text
data leakage meaning,170,Cybersecurity Practices,Data Loss Prevention,Meaning of Data Leakage,Supporting,Informational,Informational,text
sandboxing in cyber security,170,Cybersecurity Practices,Sandboxing in Cybersecurity,Understanding Sandboxing in Cybersecurity,Pillar page,Informational,Informational,text
information security risk,170,Risk Management,Cybersecurity Risk Management,Information Security Risk Assessment Insights,Supporting,Mixed,Informational,text
information risk management,170,Risk Management,Cybersecurity Risk Management,IT Risk Management Best Practices,Supporting,Informational,Informational,text
rbac cyber security,170,Security Management,RBAC in Cyber Security,RBAC in Cyber Security Explained,Pillar page,Informational,Informational,text
penetration testing vendors,170,Threat Management,Penetration Testing Overview,Choosing Pen Testing Services,Supporting,Transactional,Transactional,text
service organization control,170,Compliance and Governance,Service Organization Control,Understanding Service Organization Control,Pillar page,Informational,Informational,text
what is sandboxing in cyber security,170,Cybersecurity Practices,Sandboxing in Cybersecurity,Understanding Sandboxing in Cybersecurity,Pillar page,Informational,Informational,text
what is hitl,170,Cybersecurity Practices,HITL Overview,Understanding HITL Meaning,Pillar page,Informational,Informational,text
what is a cyber physical system,140,Cybersecurity Practices,Cyber-Physical Systems,Understanding Cyber Physical Systems,Pillar page,Informational,Informational,text
asset it management,140,Risk Management,IT Asset Management,Introduction to IT Asset Management,Supporting,Mixed,Commercial,text
continuous automated red teaming,140,Threat Management,Red Teaming Concepts,Automated Red Teaming Explained,Supporting,Mixed,Commercial,text
24 7 threat monitoring,140,Cybersecurity Practices,24/7 Cybersecurity Services,24/7 Cybersecurity Monitoring Services,Pillar page,Transactional,Commercial,text
rasp vs waf,140,Cybersecurity Practices,WAF Security Solutions,RASP vs WAF Comparison Guide,Supporting,Informational,Informational,text
data masking examples,110,Cybersecurity Practices,Data Masking Overview,Benefits and Examples of Data Masking,Pillar page,Informational,Informational,text
data encryption meaning,110,Cybersecurity Practices,Data Encryption Overview,Understanding Data Encryption Meaning,Supporting,Mixed,Informational,text
managed security companies,110,Cybersecurity Services,Managed Security Solutions,Trusted Managed Security Companies,Supporting,Commercial,Commercial,text
network patching,110,Threat Management,Patch Management Strategies,Introduction to Network Patching,Supporting,Informational,Informational,text
automated patch management tools,110,Threat Management,Patch Management Strategies,Understanding Patch Management Basics,Supporting,Mixed,Commercial,text
how do you ensure data integrity,110,Cybersecurity Practices,Data Integrity Overview,Understanding Data Integrity,Pillar page,Informational,Informational,text
mdr cost,90,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Pricing Insights,Supporting,Mixed,Commercial,text
attack simulation,90,Threat Management,Breach Attack Simulation,Overview Of Breach Attack Simulation,Supporting,Commercial,Informational,text
what is managed xdr,90,Cybersecurity Services,XDR Cybersecurity Solutions,What Is XDR Explained,Supporting,Informational,Informational,text
what is the data encryption standard,90,Ungrouped (review),Ungrouped (review),Ungrouped (review),Ungrouped,Mixed,Informational,text
mxdr security,90,Cybersecurity Services,XDR Cybersecurity Solutions,MXDR Solutions Overview,Supporting,Commercial,Commercial,text
backdoor cyber security,90,Threat Management,Backdoor Cybersecurity,Backdoor Malware in Cyber Security,Supporting,Informational,Informational,text
uba cyber security,90,Cybersecurity Practices,Cybersecurity Innovations,User and Entity Behavior Analytics Overview,Supporting,Informational,Informational,text
machine learning for security,90,Cybersecurity Practices,Machine Learning in Cybersecurity,Machine Learning in Cybersecurity,Pillar page,Informational,Informational,text
zero trust as a service,90,Security Management,Zero Trust Security,Exploring Zero Trust Architecture,Pillar page,Informational,Commercial,text
managed xdr services,90,Cybersecurity Services,XDR Cybersecurity Solutions,Managed XDR Services Guide,Supporting,Commercial,Transactional,text
risk management in information security,90,Risk Management,Cybersecurity Risk Management,Risk Management in IT Security,Supporting,Informational,Informational,text
red team vs penetration testing,70,Threat Management,Red Teaming Concepts,Red Team Testing Services Overview,Supporting,Mixed,Informational,text
security patching,70,Threat Management,Patch Management Strategies,Vulnerability and Security Patching,Supporting,Mixed,Informational,text
analyst-backed mdr vendor recommendations,70,Cybersecurity Services,MDR Cybersecurity Solutions,MDR in Cybersecurity Explained,Supporting,Commercial,Commercial,text
eap security,70,Cybersecurity Practices,EAP Cybersecurity Overview,Understanding EAP Cybersecurity,Pillar page,Informational,Informational,text
what is ndr in cyber security,70,Threat Management,NDR Insights,NDR in Cyber Security Explained,Supporting,Mixed,Informational,text
web application security services,70,Cybersecurity Practices,Application Security Solutions,Web Application Security Assessment Guide,Supporting,Mixed,Transactional,text
what is drps,70,Risk Management,DRP Overview,What is DRP? A Comprehensive Guide,Pillar page,Informational,Informational,text
ddos vs dos attacks,70,Threat Management,Denial of Service Attacks,Understanding DDoS and DoS Attacks,Pillar page,Informational,Informational,text
how rbac solutions integrate with iam,50,Security Management,RBAC in Cyber Security,RBAC in Cyber Security Explained,Pillar page,Informational,Informational,text
command trial,50,Ungrouped (review),Ungrouped (review),Ungrouped (review),Ungrouped,Mixed,Transactional,text
what is cloud computing cyber security fundamentals,50,Cybersecurity Practices,Cloud Security Solutions,Cloud Security Fundamentals Guide,Supporting,Informational,Informational,text
what is a backdoor attack,50,Threat Management,Backdoor Cybersecurity,Understanding Backdoor Attacks,Supporting,Informational,Informational,text
data masking cyber security,50,Cybersecurity Practices,Data Masking Overview,Benefits and Examples of Data Masking,Pillar page,Informational,Informational,text
proven mdr provider with threat intel integration,50,Cybersecurity Services,MDR Cybersecurity Solutions,MDR in Cybersecurity Explained,Supporting,Commercial,Commercial,text
what is red team testing,50,Threat Management,Red Teaming Concepts,Introduction to Red Teaming,Pillar page,Informational,Informational,text
24/7 cybersecurity monitoring with human analysts providers,40,Cybersecurity Practices,24/7 Cybersecurity Services,24/7 Cybersecurity Monitoring Services,Pillar page,Transactional,Transactional,text
asm products,40,Cybersecurity Services,ASM Security Solutions,Top ASM Tools and Software,Supporting,Commercial,Commercial,text
wormgpt malware,40,Cybersecurity Practices,WormGPT Overview,What Is WormGPT?,Pillar page,Informational,Informational,text
proven mdr solutions for fast roi,40,Cybersecurity Services,MDR Cybersecurity Solutions,Top MDR Service Providers,Supporting,Commercial,Commercial,text
breach & attack simulation,40,Threat Management,Breach Attack Simulation,Top Breach And Attack Simulation Tools,Pillar page,Commercial,Informational,text
security incident & event management,30,Cybersecurity Services,SIEM Overview,Overview of Security Information Management,Supporting,Informational,Informational,text
20 critical security controls,30,Compliance and Governance,Critical Security Controls,Overview of Critical Security Controls,Pillar page,Informational,Informational,text
abac definition,30,Security Management,ABAC Overview,Understanding ABAC Definition,Pillar page,Informational,Informational,text
ai-driven vulnerability management platform,0,Threat Management,Vulnerability Management,AI in Vulnerability Management,Supporting,Commercial,Commercial,text
api testing,4400,Cybersecurity Practices,API Security Solutions,Essential API Testing Tools,Pillar page,Mixed,Informational,text
api testing tools,1900,Cybersecurity Practices,API Security Solutions,Essential API Testing Tools,Pillar page,Mixed,Commercial,text
asm platform,20,Cybersecurity Services,ASM Security Solutions,Top ASM Tools and Software,Supporting,Commercial,Commercial,text
attack surface asset management,30,Security Management,Attack Surface Management,Top Attack Surface Management Solutions,Pillar page,Commercial,Commercial,text
attack surface discovery platform,10,Security Management,Attack Surface Management,Comprehensive Attack Surface Analysis,Supporting,Mixed,Commercial,text
best ctem solutions,10,Cybersecurity Services,CTEM Cybersecurity Solutions,Top CTEM Solutions Overview,Pillar page,Mixed,Commercial,text
breach and attack simulation platform,30,Threat Management,Breach Attack Simulation,Top Breach And Attack Simulation Tools,Pillar page,Commercial,Commercial,text
breach attack simulation tools,20,Threat Management,Breach Attack Simulation,Overview Of Breach Attack Simulation,Supporting,Commercial,Commercial,text
caasm cybersecurity,20,Cybersecurity Practices,CaaS Security Insights,CAASM Security Insights,Supporting,Mixed,Informational,text
casm cyber security,20,Cybersecurity Practices,CaaS Security Insights,CAASM Security Insights,Supporting,Mixed,Informational,text
cira security,20,Cybersecurity Services,CTEM Cybersecurity Solutions,CTEM in Cybersecurity Explained,Supporting,Informational,Informational,text
cloud infrastructure management,1000,Cybersecurity Practices,Cloud Security Solutions,Cloud Infrastructure Management Basics,Supporting,Mixed,Informational,text
cloud migration,5400,Cybersecurity Practices,Cloud Security Solutions,Securing Cloud Migration Processes,Supporting,Mixed,Transactional,text
cloud migration tools,1000,Cybersecurity Practices,Cloud Security Solutions,Essential Cloud Security Tools,Supporting,Commercial,Commercial,text
cloud risk framework,20,Cybersecurity Practices,Cloud Security Solutions,Cloud Vulnerability Management Insights,Supporting,Mixed,Informational,text
co-managed siem services,10,Cybersecurity Services,SIEM Overview,Co-Managed SIEM Services,Supporting,Commercial,Transactional,text
compare siem providers,0,Cybersecurity Services,SIEM Overview,Comparing SIEM Products and Providers,Supporting,Commercial,Commercial,text
continuous exposure management,20,Risk Management,Threat Exposure Management,Understanding Continuous Threat Exposure Management,Supporting,Informational,Commercial,text
continuous threat exposure assessment,10,Risk Management,Threat Exposure Management,Understanding Continuous Threat Exposure Management,Supporting,Informational,Informational,text
continuous threat exposure management ctem,30,Risk Management,Threat Exposure Management,Understanding Continuous Threat Exposure Management,Supporting,Informational,Informational,text
cps threat detection,30,Cybersecurity Practices,Cloud Security Posture Management,CSPM Tools and Vendors Overview,Pillar page,Commercial,Informational,text
ctem security platform,20,Cybersecurity Services,CTEM Cybersecurity Solutions,CTEM in Cybersecurity Explained,Supporting,Informational,Commercial,text
cyber asset management platform,20,Risk Management,Cybersecurity Risk Management,Cyber Security Asset Management Solutions,Supporting,Commercial,Commercial,text
cyber risk assessment platform,30,Risk Management,Cybersecurity Risk Management,Best Cyber Risk Management Platforms,Supporting,Commercial,Commercial,text
cyber risk exposure monitoring,10,Risk Management,Cybersecurity Risk Management,Cyber Exposure Management Strategies,Supporting,Commercial,Informational,text
cybersecurity exposure management,30,Risk Management,Cybersecurity Risk Management,Cyber Exposure Management Strategies,Supporting,Commercial,Commercial,text
data security,9900,Cybersecurity Practices,Data Security Overview,Overview of Data Security,Pillar page,Informational,Informational,text
denial of service and distributed denial of service attacks,2400,Threat Management,Denial of Service Attacks,Understanding DDoS and DoS Attacks,Pillar page,Informational,Informational,text
digital attack surface protection,10,Security Management,Attack Surface Management,External Attack Surface Management Overview,Supporting,Commercial,Commercial,text
drp meaning,2400,Risk Management,DRP Overview,What is DRP? A Comprehensive Guide,Pillar page,Informational,Informational,text
eap network security,20,Cybersecurity Practices,EAP Cybersecurity Overview,Understanding EAP Cybersecurity,Pillar page,Informational,Informational,text
eap security meaning,20,Cybersecurity Practices,EAP Cybersecurity Overview,Understanding EAP Cybersecurity,Pillar page,Informational,Informational,text
exposure risk scoring,20,Risk Management,Exposure Assessment Solutions,Understanding Exposure Assessment Platforms,Pillar page,Informational,Informational,text
external attack surface security,10,Security Management,Attack Surface Management,External Attack Surface Management Overview,Supporting,Commercial,Commercial,text
full-service mdr providers with 24/7 monitoring,30,Cybersecurity Practices,24/7 Cybersecurity Services,24/7 Cybersecurity Monitoring Services,Pillar page,Transactional,Transactional,text
honeypot as a service,20,Threat Management,Penetration Testing Overview,Penetration Testing as a Service,Supporting,Transactional,Transactional,text
hybrid risk management,20,Risk Management,Cybersecurity Risk Management,IT Risk Management Best Practices,Supporting,Informational,Informational,text
iam infrastructure,20,Cybersecurity Practices,Infrastructure as Code,IAC Meaning and Security Insights,Supporting,Informational,Informational,text
infrastructure as code,6600,Cybersecurity Practices,Infrastructure as Code,Understanding Infrastructure As Code,Pillar page,Informational,Informational,text
itam software,1300,Risk Management,IT Asset Management,Leading ITAM Software Solutions,Supporting,Commercial,Commercial,text
living off the land attack examples,30,Threat Management,Living Off the Land Attacks,Understanding Living Off The Land Attacks,Pillar page,Informational,Informational,text
lpa,18100,Security Management,LPA Overview,Understanding LPA Meaning,Pillar page,Informational,Informational,text
lpa meaning,1600,Security Management,LPA Overview,Understanding LPA Meaning,Pillar page,Informational,Informational,text
managed cyber risk reduction,20,Risk Management,Cybersecurity Risk Management,Effective Cyber Risk Reduction Techniques,Supporting,Mixed,Commercial,text
managed drp,0,Risk Management,DRP Overview,What is DRP? A Comprehensive Guide,Pillar page,Informational,Transactional,text
managed security services mdr,0,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Transactional,text
managed threat protection,30,Cybersecurity Services,Managed Detection and Response,Managed Threat Detection Services Guide,Supporting,Commercial,Transactional,text
managed vulnerability management services,40,Threat Management,Vulnerability Management,Managed Vulnerability Services,Supporting,Commercial,Transactional,text
managed xdr providers,30,Cybersecurity Services,XDR Cybersecurity Solutions,Managed XDR Services Guide,Supporting,Commercial,Commercial,text
managed xdr security,20,Cybersecurity Services,XDR Cybersecurity Solutions,Managed XDR Services Guide,Supporting,Commercial,Commercial,text
mdr detection lifecycle,0,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Tools and Monitoring,Supporting,Mixed,Informational,text
mdr for enterprise,0,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Solutions for Enterprises,Supporting,Commercial,Commercial,text
mdr meaning security,20,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Security Services Overview,Supporting,Mixed,Informational,text
mdr roi,30,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Definition and Meaning,Pillar page,Informational,Informational,text
mdr soc model,0,Cybersecurity Services,MDR Cybersecurity Solutions,MDR vs SOC Comparison,Supporting,Informational,Informational,text
mtdr,1000,Cybersecurity Services,MTDR Overview,Understanding MTDR Technology,Pillar page,Informational,Informational,text
mvm security,40,Threat Management,MVM Solutions,MVM Management and Security Insights,Pillar page,Commercial,Commercial,text
mxdr providers,20,Cybersecurity Services,XDR Cybersecurity Solutions,MXDR Solutions Overview,Supporting,Commercial,Commercial,text
mxdr service,30,Cybersecurity Services,XDR Cybersecurity Solutions,MXDR Solutions Overview,Supporting,Commercial,Commercial,text
mxdr solutions,30,Cybersecurity Services,XDR Cybersecurity Solutions,MXDR Solutions Overview,Supporting,Commercial,Commercial,text
mxdr vendor,10,Cybersecurity Services,MDR Cybersecurity Solutions,Leading MDR Vendors List,Supporting,Commercial,Commercial,text
network exposure assessment,10,Risk Management,Exposure Assessment Solutions,Understanding Exposure Assessment Platforms,Pillar page,Informational,Informational,text
new york department of financial services,1600,Compliance and Governance,New York Cyber Regulations,New York DFS Overview,Pillar page,Navigational,Navigational,text
next gen xdr,20,Cybersecurity Services,XDR Cybersecurity Solutions,What Is XDR Explained,Supporting,Informational,Informational,text
ngav meaning,20,Cybersecurity Services,NGAV Overview,Understanding NGAV Solutions,Pillar page,Mixed,Informational,text
ngav vendors,30,Cybersecurity Services,NGAV Overview,Understanding NGAV Solutions,Pillar page,Mixed,Commercial,text
nta,9900,Threat Management,NTA Definition,Understanding NTA Meaning,Pillar page,Informational,Informational,text
nta meaning,5400,Threat Management,NTA Definition,Understanding NTA Meaning,Pillar page,Informational,Informational,text
nydfs,4400,Compliance and Governance,New York Cyber Regulations,NYDFS Quick Access,Supporting,Navigational,Navigational,text
open inteligence,0,Threat Management,Open Source Intelligence,Understanding Open Source Intelligence,Pillar page,Informational,Informational,text
pentest tools,1900,Threat Management,Penetration Testing Overview,Top Penetration Testing Tools,Supporting,Mixed,Commercial,text
pentesting,5400,Threat Management,Penetration Testing Overview,Understanding Pen Testing Basics,Supporting,Mixed,Informational,text
red team testing services,20,Threat Management,Red Teaming Concepts,Red Team Testing Services Overview,Supporting,Mixed,Transactional,text
risk assessment tools in cyber security,20,Risk Management,Cybersecurity Risk Management,Top Cybersecurity Risk Assessment Tools,Supporting,Commercial,Commercial,text
risk based vulnerability management tool,20,Threat Management,Vulnerability Management,Risk-Based Vulnerability Management,Supporting,Commercial,Commercial,text
risk management as a service,40,Risk Management,Cybersecurity Risk Management,Risk Management in IT Security,Supporting,Informational,Commercial,text
rtaas,30,Ungrouped (review),Ungrouped (review),Ungrouped (review),Ungrouped,Mixed,Informational,text
scap compliance,20,Compliance and Governance,SCAP Compliance Framework,Understanding SCAP Compliance,Pillar page,Informational,Informational,text
